Height(Inches);Weight(Pounds);Sex;Age
65,78331;112,9925;F;22
71,51521;136,4873;F;19
69,39874;153,0269;M;18
68,2166;142,3354;M;18
67,78781;144,2971;F;18
68,69784;123,3024;F;23
69,80204;141,4947;F;20
70,01472;136,4623;F;20
67,90265;112,3723;F;28
66,78236;120,6672;F;22
66,48769;127,4516;M;18
67,62333;114,143;F;22
68,30248;125,6107;M;21
67,11656;122,4618;M;21
68,27967;116,0866;F;20
71,0916;139,9975;F;18
66,461;129,5023;F;20
68,64927;142,9733;M;24
71,23033;137,9025;M;19
67,13118;124,0449;M;19
67,83379;141,2807;M;24
68,87881;143,5392;M;18
63,48115;97,90191;F;21
68,42187;129,5027;F;19
67,62804;141,8501;F;22
67,20864;129,7244;M;18
70,84235;142,4235;M;19
67,49434;131,5502;M;18
66,53401;108,3324;M;18
65,44098;113,8922;M;18
69,5233;103,3016;F;20
65,8132;120,7536;M;22
67,8163;125,7886;F;21
70,59505;136,2225;F;20
71,80484;140,1015;F;23
69,20613;128,7487;F;18
66,80368;141,7994;F;19
67,65893;121,2319;M;21
67,80701;131,3478;F;22
64,04535;106,7115;F;18
68,57463;124,3598;M;19
65,18357;124,8591;F;27
69,65814;139,6711;M;27
67,96731;137,3696;F;21
65,98088;106,4499;M;30
68,67249;128,7639;F;22
66,88088;145,6837;F;21
67,69868;116,819;M;21
69,82117;143,6215;M;20
69,08817;134,9325;F;18
69,91479;147,0219;M;21
67,33182;126,3285;F;18
70,26939;125,4839;M;21
69,10344;115,7084;M;19
65,38356;123,4892;M;17
70,18447;147,8926;F;26
70,40617;155,8987;M;18
66,54376;128,0742;M;26
66,36418;119,3701;M;21
67,537;133,8148;M;22
66,50418;128,7325;M;18
68,99958;137,5453;F;18
68,30355;129,7604;M;21
67,01255;128,824;M;19
70,80592;135,3165;F;24
68,21951;109,6113;F;21
69,05914;142,4684;F;18
67,73103;132,749;F;28
67,21568;103,5275;M;18
67,36763;124,7299;F;22
65,27033;129,3137;F;18
70,84278;134,0175;F;21
69,92442;140,3969;F;18
64,28508;102,8351;F;21
68,2452;128,5214;F;21
66,35708;120,2991;F;21
68,36275;138,6036;F;30
65,4769;132,9574;F;24
69,71947;115,6233;F;19
67,72554;122,524;M;20
68,63941;134,6254;F;21
66,78405;121,8986;F;18
70,05147;155,3767;F;20
66,27848;128,9418;F;20
69,20198;129,1013;F;21
69,13481;139,4733;F;20
67,36436;140,8901;F;18
70,09297;131,5916;F;18
70,1766;121,1232;M;21
68,22556;131,5127;F;19
68,12932;136,5479;M;22
70,24256;141,4896;M;18
71,48752;140,6104;F;20
69,20477;112,1413;F;19
70,06306;133,457;F;28
70,55703;131,8001;M;22
66,28644;120,0285;M;21
63,42577;123,0972;M;21
66,76711;128,1432;F;18
68,88741;115,4759;M;21
64,87434;102,0927;F;18
67,09272;130,353;M;21
68,34761;134,1842;M;20
65,61073;98,64133;M;24
67,75551;114,5599;F;22
68,0212;123,4917;F;22
67,66193;123,048;M;30
66,3146;126,4772;F;18
69,43706;128,417;M;18
63,83624;127,1941;F;21
67,72277;122,0562;F;18
70,05098;127,6064;F;20
70,18602;131,6423;M;23
65,94588;111,8955;F;28
70,007;122,039;M;19
68,61129;128,5547;F;24
68,80817;132,6792;M;22
69,76212;136,0632;M;20
65,45539;115,9403;F;17
68,82534;136,9041;M;22
65,8003;119,8804;F;26
67,21474;109,0055;F;22
69,42021;128,2705;F;22
68,94396;135,2913;F;24
67,9415;106,8558;F;22
65,62506;123,2939;M;22
66,49607;109,5143;M;20
67,92809;119,3087;F;21
68,89415;140,2402;F;26
70,241;133,9841;F;27
68,26623;132,5807;F;19
71,23161;130,6988;M;22
69,09747;115,5637;F;19
64,39693;123,7941;F;20
71,09585;128,1427;F;28
68,21868;135,9646;F;18
65,91721;116,6273;F;18
67,4369;126,8241;M;20
73,90107;151,3913;M;22
69,98149;130,4022;F;26
69,51862;136,2068;M;22
65,18437;113,3989;M;18
68,00869;125,3287;M;19
68,3384;127,5846;F;21
65,18417;107,1564;F;24
68,26209;116,4588;F;20
68,56865;133,8402;F;19
64,49675;112,8901;F;20
68,71053;130,7568;M;22
68,89148;137,7571;F;19
69,54011;125,4036;M;18
67,39964;138,4659;M;18
66,47521;120,8184;M;18
66,01217;140,1539;M;19
72,44434;136,7397;F;24
64,12642;106,1139;F;28
70,98112;158,9562;F;20
67,50124;108,7868;M;24
72,01515;138,7758;M;26
65,31143;115,9136;F;18
67,07509;146,2922;M;21
64,39148;109,8765;F;19
69,37003;139,0499;M;17
68,37921;119,9001;F;21
65,31018;128,3069;F;24
67,1369;127,2428;F;18
68,39468;115,2306;M;34
66,2918;124,7975;M;22
67,1866;126,9511;F;18
65,99156;111,2711;M;24
69,43393;122,6089;M;24
67,97463;124,2084;F;22
67,76133;124,6453;F;18
65,27864;119,5169;F;28
73,83364;139,2983;F;18
66,81312;104,8265;F;22
66,89411;123,0424;F;27
65,73568;118,8923;M;18
65,98283;121,4939;F;24
66,58396;119,2488;M;33
67,11294;135,0239;M;20
65,87481;116,228;M;18
66,78067;109,1731;M;19
68,73577;124,2237;M;20
66,22666;141,1645;M;21
65,95968;129,1501;F;20
68,58372;127,8693;F;18
66,59347;120,9244;F;24
66,96574;127,6466;M;19
68,08015;101,4693;M;26
70,19025;144,9927;F;20
65,52149;110,9523;M;21
67,45905;132,8625;M;19
67,40985;146,3385;M;20
69,66158;145,5894;F;21
65,79799;120,8431;M;20
66,10558;115,7813;F;21
68,23987;128,3019;M;19
68,02403;127,4718;M;27
71,39044;127,8761;M;20
65,7316;121,4997;M;21
66,43358;112,7148;F;22
70,01309;135,002;M;20
69,48146;128,6789;M;21
68,62764;124,4062;F;20
