Indice,Altura,Peso,Sexo,Idade,IMC
1,1.72,64.2,F,22,21.7
2,1.69,71.7,F,19,25
3,1.73,73.6,M,18,24.6
4,1.73,69.4,M,18,23.3
5,1.76,75.4,F,18,24.2
6,1.67,60.8,F,23,21.7
7,1.69,68.2,F,20,24
8,1.78,68.9,F,20,21.7
9,1.65,63.9,F,28,23.5
10,1.63,55.2,F,22,20.8
11,1.68,73.6,M,18,26.1
12,1.68,68.9,F,22,24.3
13,1.74,67.9,M,21,22.5
14,1.7,67,M,21,23.2
15,1.73,72.4,F,20,24.1
16,1.79,66.6,F,19,20.7
17,1.65,58.5,F,20,21.4
18,1.74,65.9,M,24,21.9
19,1.73,68.3,M,18,22.9
20,1.66,63.3,M,19,22.9
21,1.75,73.9,M,24,24.2
22,1.73,71,M,18,23.8
23,1.68,65.4,F,21,23.3
24,1.75,69.2,F,19,22.5
25,1.62,66,F,22,25.2
26,1.77,73.9,M,18,23.6
27,1.77,79.6,M,19,25.3
28,1.74,69,M,18,22.7
29,1.81,80.2,M,18,24.4
30,1.75,79.1,M,18,25.8
31,1.69,58.6,F,20,20.5
32,1.72,71,M,22,24
33,1.74,69.2,F,21,22.9
34,1.68,56.7,F,20,20.1
35,1.69,64.9,F,23,22.6
36,1.75,62.7,F,18,20.4
37,1.71,63.5,F,19,21.7
38,1.75,62.9,M,21,20.7
39,1.72,61.3,F,22,20.7
40,1.76,67.5,F,18,21.8
41,1.77,65.7,M,19,21
42,1.75,64.7,F,27,21.1
43,1.75,73.6,M,27,23.9
44,1.8,73.1,F,21,22.5
45,1.67,63.2,M,30,22.7
46,1.72,66.9,F,22,22.7
47,1.67,67,F,21,24.1
48,1.68,81,M,21,28.6
49,1.69,69.1,M,20,24.1
50,1.71,67.4,F,18,23.1
51,1.77,72.1,M,21,23.2
52,1.65,67.6,F,18,24.8
53,1.76,71.3,M,21,23.1
54,1.7,68.4,M,18,23.7
55,1.73,68.1,M,17,22.8
56,1.68,69.4,F,26,24.7
57,1.63,65.9,M,18,24.7
58,1.75,68,M,26,22.3
59,1.77,75.9,M,21,24.1
60,1.72,69.6,M,22,23.6
61,1.83,73.3,M,18,21.9
62,1.83,67.6,F,18,20.1
63,1.75,71.9,M,21,23.4
64,1.71,72.3,M,19,24.7
65,1.73,70.6,F,24,23.5
66,1.65,55.7,F,21,20.5
67,1.74,65.8,F,18,21.7
68,1.72,63.3,F,28,21.5
69,1.7,70.1,M,18,24.4
70,1.73,71.9,F,22,24.1
71,1.66,65.3,F,19,23.7
72,1.65,60.1,F,21,22
73,1.73,66.5,F,18,22.1
74,1.78,64.9,F,21,20.4
75,1.7,64.6,F,21,22.4
76,1.68,60.9,F,21,21.7
77,1.69,65.3,F,30,22.9
78,1.75,78.2,F,24,25.6
79,1.75,76.4,F,19,24.8
80,1.8,71.5,M,20,22.2
81,1.73,67.1,F,21,22.5
82,1.72,62.8,F,18,21.1
83,1.75,74.9,F,20,24.4
84,1.79,57.9,F,20,18.1
85,1.75,74.4,F,21,24.4
86,1.68,68,F,20,24.2
87,1.68,66,F,18,23.4
88,1.67,64.9,F,18,23.2
89,1.71,69.3,M,21,23.8
90,1.78,63.7,F,19,20.2
91,1.76,69.6,M,22,22.5
92,1.82,80.2,M,18,24.3
93,1.74,67.4,F,20,22.3
94,1.74,72.7,F,18,24.1
95,1.78,71.1,F,28,22.5
96,1.64,72,M,22,26.8
97,1.76,74.8,M,21,24.1
98,1.81,76.2,M,21,23.3
99,1.72,66.8,F,18,22.7
100,1.7,71.4,M,21,24.7
101,1.82,65.6,F,19,19.8
102,1.73,69.4,M,21,23.1
103,1.79,72.1,M,20,22.5
104,1.71,79.8,M,24,27.2
105,1.74,68.5,F,22,22.5
106,1.72,62.3,F,22,20.9
107,1.77,72.9,M,30,23.3
108,1.63,54.8,F,19,20.5
109,1.7,82.7,M,18,28.7
110,1.73,71.4,F,21,24
111,1.7,64.2,F,18,22.3
112,1.75,62.1,F,20,20.2
113,1.73,64,M,23,21.4
114,1.72,62.3,F,28,21
115,1.79,70.7,M,19,22.1
116,1.75,63.3,F,24,20.7
117,1.77,72.5,M,22,23.2
118,1.8,78.1,M,20,24
119,1.72,68.5,F,17,23.1
120,1.74,68.4,M,22,22.7
121,1.68,55.9,F,26,19.7
122,1.8,66.7,F,22,20.6
123,1.71,69.2,F,22,23.8
124,1.74,66,F,24,21.7
125,1.69,65,F,22,22.7
126,1.74,69,M,22,22.8
127,1.73,68,M,20,22.7
128,1.77,66.9,F,21,21.4
129,1.72,69.2,F,26,23.4
130,1.75,62.9,F,27,20.6
131,1.8,72.5,F,19,22.5
132,1.63,59.1,M,22,22.1
133,1.71,65.3,F,19,22.3
134,1.75,73.9,F,20,24
135,1.69,63.5,F,28,22.2
136,1.69,62.9,F,18,22.1
137,1.75,65.2,F,19,21.3
138,1.69,71,M,20,24.9
139,1.75,70.7,M,22,23
140,1.79,68.8,F,26,21.5
141,1.68,66.1,M,22,23.4
142,1.8,72.4,M,18,22.3
143,1.73,68.6,M,18,23
144,1.73,62.5,F,21,20.9
145,1.71,70,F,24,24
146,1.74,69.2,F,20,22.8
147,1.74,60.4,F,19,19.9
148,1.77,70.5,F,20,22.5
149,1.77,78.9,M,22,25.3
150,1.66,67.3,F,19,24.3
151,1.75,74.8,M,18,24.4
152,1.66,68.8,M,18,24.9
153,1.68,64.6,M,18,22.8
154,1.71,63.3,M,19,21.7
155,1.78,68.5,F,24,21.6
156,1.74,74.6,F,28,24.8
157,1.79,72.3,F,20,22.7
