Indice,Altura,Peso,Sexo,Idade
1,67.69782,141.6578,F,22
2,66.71286,158.0518,F,19
3,68.09779,162.3519,M,18
4,67.94268,152.9747,M,18
5,69.46001,166.2339,F,18
6,65.8375,134.1137,F,23
7,66.4422,150.4233,F,20
8,70.22362,151.8951,F,20
9,64.96088,140.9725,F,28
10,64.16792,121.7186,F,22
11,66.14233,162.3314,M,18
12,66.25032,151.9959,F,22
13,68.41449,149.6159,M,21
14,66.87131,147.8292,M,21
15,68.20575,159.6049,F,20
16,70.55072,146.8782,F,19
17,65.1448,129.0337,F,20
18,68.33571,145.3389,M,24
19,67.93426,150.5394,M,18
20,65.38377,139.4991,M,19
21,68.77016,162.9118,M,24
22,67.94309,156.6136,M,18
23,65.97964,144.2707,F,21
24,69.08983,152.4775,F,19
25,63.7019,145.4581,F,22
26,69.6757,162.9757,M,18
27,69.83869,175.4533,M,19
28,68.65846,152.0557,M,18
29,71.35101,176.9412,M,18
30,68.90076,174.4089,M,18
31,66.53401,129.2799,F,20
32,67.76199,156.4716,M,22
33,68.4344,152.4868,F,21
34,66.10993,124.9388,F,20
35,66.70355,143.2092,F,23
36,68.99828,138.3423,F,18
37,67.32611,140.0258,F,19
38,68.72117,138.7935,M,21
39,67.76707,135.115,F,22
40,69.25232,148.7698,F,18
41,69.58501,144.9731,M,19
42,68.92378,142.619,F,27
43,69.08371,162.3533,M,27
44,70.95119,161.1006,F,21
45,65.65913,139.4596,M,30
46,67.54027,147.5971,F,22
47,65.57652,147.7274,F,21
48,66.32713,178.7002,M,21
49,66.59795,152.3015,M,20
50,67.25014,148.5906,F,18
51,69.49135,159.0444,M,21
52,64.97013,148.9732,F,18
53,69.1034,157.1133,M,21
54,66.92747,150.7505,M,18
55,68.03493,150.2202,M,17
56,65.96844,153.0734,F,26
57,64.35694,145.4072,M,18
58,68.70761,150.0233,M,26
59,69.82623,167.3531,M,21
60,67.5828,153.3957,M,22
61,72.06438,161.6765,M,18
62,72.1712,149.1091,F,18
63,68.98854,158.4857,M,21
64,67.41253,159.3653,M,19
65,68.28223,155.7043,F,24
66,64.87142,122.8024,F,21
67,68.55731,145.0664,F,18
68,67.58847,139.6601,F,28
69,66.78852,154.5248,M,18
70,67.97769,158.5081,F,22
71,65.27161,143.8807,F,19
72,65.15114,132.575,F,21
73,68.30044,146.6089,F,18
74,70.21379,143.1088,F,21
75,66.86878,142.4994,F,21
76,65.97185,134.2252,F,21
77,66.51131,143.8893,F,30
78,68.80928,172.3681,F,24
79,69.04469,168.4536,F,19
80,70.6785,157.662,M,20
81,67.94587,148.0105,F,21
82,67.84973,138.4457,F,18
83,68.93673,165.2257,F,20
84,70.33009,127.6172,F,20
85,68.71508,164.0457,F,21
86,66.03755,149.9581,F,20
87,66.06295,145.4493,F,18
88,65.76655,143.0244,F,18
89,67.2038,152.8479,M,21
90,69.91804,140.4577,F,19
91,69.16735,153.4314,M,22
92,71.5009,176.9353,M,18
93,68.44756,148.5253,F,20
94,68.35315,160.3275,F,18
95,69.9746,156.7823,F,28
96,64.54407,158.6647,M,22
97,69.39546,164.9314,M,21
98,71.14046,168.0133,M,21
99,67.59114,147.2616,F,18
100,66.96947,157.488,M,21
101,71.56281,144.5537,F,19
102,68.15859,152.9236,M,21
103,70.50755,159.07,M,20
104,67.42102,176.0057,M,24
105,68.69462,151.0817,F,22
106,67.87768,137.2974,F,22
107,69.65965,160.8068,M,30
108,64.28708,120.77456,F,19
109,66.89298,182.3874,M,18
110,67.91637,157.5446,F,21
111,66.83011,141.485,F,18
112,68.98349,136.8445,F,20
113,68.09093,141.0513,M,23
114,67.89972,137.4536,F,28
115,70.48654,155.9101,M,19
116,68.87831,139.6445,F,24
117,69.52967,159.8377,M,22
118,70.98626,172.1167,M,20
119,67.7922,150.9969,F,17
120,68.38674,150.8651,M,22
121,66.24954,123.2627,F,26
122,70.79562,146.9761,F,22
123,67.20849,152.6229,F,22
124,68.64717,145.5891,F,24
125,66.62347,143.3345,F,22
126,68.47451,152.1787,M,22
127,68.20346,150.0141,M,20
128,69.53955,147.5449,F,21
129,67.65971,152.5823,F,26
130,68.84393,138.6256,F,27
131,70.74903,159.8897,F,19
132,64.32043,130.3198,M,22
133,67.44291,144.0279,F,19
134,69.02285,162.9042,F,20
135,66.53479,139.9279,F,28
136,66.46549,138.7156,F,18
137,68.90441,143.8004,F,19
138,66.44909,156.6491,M,20
139,69.05353,155.8972,M,22
140,70.42201,151.7874,F,26
141,66.22803,145.7648,M,22
142,70.9585,159.7479,M,18
143,67.99826,151.2137,M,18
144,68.04672,137.815,F,21
145,67.29912,154.3594,F,24
146,68.5877,152.5674,F,20
147,68.68124,133.2745,F,19
148,69.65674,155.3679,F,20
149,69.54554,173.8822,M,22
150,65.54683,148.3004,F,19
151,68.90895,164.9819,M,18
152,65.47238,151.6931,M,18
153,66.21311,142.4761,M,18
154,67.18784,139.6589,M,19
155,70.00937,150.9453,F,24
156,68.32377,164.5881,F,28
157,70.30407,159.3701,F,20
158,66.73179,153.4625,M,24
159,68.77375,147.6136,M,26
